Geography,Funding Source,Program,Agency,Description,Detail Description,Policy Topic,Policy Subtopic,Allocation (millions),Current As Of,Expiration,is_expired,amount_exact,source_url,source_name
Illinois,ARPA State and Local Fiscal Recovery Funds,Child Advocacy Centers,Illinois Department of Children and Family Services,Support for child advocacy centers managed by the Department of Children and Family Services,Support for child advocacy centers managed by the Department of Children and Family Services,Community Safety,Victim Supports,3,2025-11-11,2024-12-31,1,1,"https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf""><a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf","<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>"
Illinois,ARPA State and Local Fiscal Recovery Funds,Administration of American Rescue Plan Act Expenditures,NA,Supports local governments and/or regional EDOs to update outdated plans or prepare new ones.,Supports local governments and/or regional EDOs to update outdated plans or prepare new ones.,Community Safety,Victim Supports,NA,2023-06-30,2024-12-31,1,1,NA,NA
Illinois,ARPA State and Local Fiscal Recovery Funds,Summer Youth Employment,Illinois Department of Human Services,Youth workforce development programs,"This program is designed to target current youth and new youth interested in working toward a goal of developing workplace skills and gaining employment experience while exploring potential Career Pathways. Grantees will partner with local employers in need of Summer workers. Youth targeted in this program will be placed in age-appropriate, ability-appropriate, and experience-appropriate Work-Based Learning Opportunities, Career Development Experience Opportunities or Pre-Apprenticeship programs that target a Registered or Non-Registered Apprenticeship.  The primary objective for youth served in the C-SYEP program is to develop their ""Essential Employability Skills"" and to earn a minimum of 180 hours of entry-level work experience.",Community Safety,Violence Prevention/Reduction,60,2025-11-11,2024-12-31,1,1,"https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf""><a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf","<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,Gender-based Violence Reduction,Chicago Department of Family and Support Services,Emergency funds and legal assistance for survivors of gender-based violence,"Assists survivors of gender-based violence through emergency funds, legal assistance, prevention education, housing and other care coordination services",Community Safety,Violence Prevention/Reduction,20,2025-11-11,2024-12-31,1,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,Justice Initiatives,NA,NA,NA,Community Safety,Criminal Justice Reform,NA,2023-06-30,2024-12-31,1,1,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,Resources for Community Safety Initiatives and Violence Reduction Interventions,Chicago Department of Public Health,NA,NA,Community Safety,Violence Prevention/Reduction,NA,2023-06-30,2024-12-31,1,1,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,Victim Support Funding,Chicago Department of Public Health,NA,NA,Community Safety,Victim Supports,NA,2023-06-30,2024-12-31,1,1,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,Youth Intervention Programs,Chicago Department of Family and Support Services,"Interventions for young people involved in violent crime, both victims and perpetrators","Expands interventions for young people with violence involvement--both victims and perpetrators--that will include case management and services such as mental health, employment support, and other wraparound services",Community Safety,Violence Prevention/Reduction,19.5,2025-11-11,2024-12-31,1,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,Youth Justice Diversion,Chicago Department of Family and Support Services,NA,NA,Community Safety,Criminal Justice Reform,NA,2023-06-30,2024-12-31,1,1,NA,NA
Illinois,ARPA State and Local Fiscal Recovery Funds,Violence Interrupters Services,Illinois Criminal Justice Information Authority,Violence prevention training and organizing.,Violence prevention training and organizing.,Community Safety,Violence Prevention/Reduction,NA,2023-06-30,2024-12-31,1,1,NA,NA
