Geography,Funding Source,Program,Agency,Description,Detail Description,Policy Topic,Policy Subtopic,Allocation (millions),Current As Of,Expiration,is_expired,amount_exact,source_url,source_name
Cook County,ARPA State and Local Fiscal Recovery Funds,Food Security Assistance,Cook County Bureau of Economic Development,"Invests in community partners, supporting new food partnerships and building the capacity of existing partners to serve the needs of food insecure populations.","Invests in community partners, supporting new food partnerships and building the capacity of existing partners to serve the needs of food insecure populations.",Household Investment,Household Supportive Services,NA,2023-06-30,2024-12-31,1,1,NA,NA
Cook County,ARPA State and Local Fiscal Recovery Funds,Legal Aid and Eviction Prevention,Agency lead not specified,"Legal aid and case management services for residents facing eviction, foreclosure, consumer debt, and tax deed issues","ARPA funding to support the Cook County Legal Aid for Housing and Debt program, which assists residents dealing with eviction, foreclosure, consumer debt, and tax deed issues. CCLAHD helps residents resolve eviction, foreclosure, consumer debt, and tax deed issues pre-court and during the court process. CCLAHD provides free legal aid, mediation services, case management, and connections  for tenants and landlords dealing with evictions, property owners who are behind on their mortgage payments or property taxes, and creditors and debtors with issues related to consumer debt.",Household Investment,Household Supportive Services,3.59,2025-11-11,2024-12-31,1,1,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,Access and awareness for public support services,Chicago Department of Family and Support Services; Chicago Department of Public Health,Community-based navigation resources for public services,"Provides community-based navigation resources to ensure residents are aware of and have access to public services, including the creation of a 211 system",Household Investment,Household Supportive Services,14.7,2025-11-11,2024-12-31,1,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,Aid for Chicago's vulnerable students,Chicago Office of Budget and Management,Aid for Chicagos vulnerable students,"Provide flexible grants for Chicago students/households to cover school supplies, food and other essentials that are required for student support",Household Investment,Household Supportive Services,NA,2023-06-30,2024-12-31,1,1,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,Cash Assistance Initiatives,NA,NA,NA,Household Investment,Direct Cash Assistance,NA,2023-06-30,2024-12-31,1,1,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,Increasing Access to Broadband,Office of Budget and Management,NA,NA,Household Investment,Utility Assistance,NA,2023-06-30,2024-12-31,1,1,NA,NA
Illinois,ARPA State and Local Fiscal Recovery Funds,DHS Fund Deposit for Welcoming Centers,Illinois Department of Human Services,Financial assistance to immigrant households who did not receive Economic Impact Payments during COVID-19 pandemic.,Program provides financial assistance to households that were not eligible to receive Economic Impact Payments from the Internal Revenue Services in 2020 and/or 2021 due to immigration status.,Household Investment,Direct Cash Assistance,NA,2023-06-30,2024-12-31,1,1,NA,NA
Illinois,ARPA State and Local Fiscal Recovery Funds,Immigrant Integration Services,Illinois Department of Human Services,Cash assistance to low-income immigrants determined to be eligible for such benefits.,Cash assistance to low-income immigrants determined to be eligible for such benefits.,Household Investment,Targeted Economic Assistance,NA,2023-06-30,2024-12-31,1,1,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,211 System,Chicago Department of Family Support Services,NA,NA,Household Investment,Household Supportive Services,NA,2023-06-30,2024-12-31,1,1,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,Artist Relief and Works Fund,Chicago Department of Cultural Affairs and Special Events,Targeted relief for individual artists and cultural organizations not eligible for other federal relief programs,"Targeted relief for individual artists, creative workers and cultural organizations, both nonprofit and for profit, not eligible for other federal relief programs. Funds will be administered through a combination of grants, technical assistance support, and creative workforce development programs.",Household Investment,Targeted Economic Assistance,10,2025-11-11,2024-12-31,1,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,Resiliency Fund 2.0,NA,NA,NA,Household Investment,Direct Cash Assistance,NA,2023-06-30,2024-12-31,1,1,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,Domestic Worker Cash Assistance,NA,NA,NA,Household Investment,Direct Cash Assistance,NA,2023-06-30,2024-12-31,1,1,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,Chicago Resilient Communities Pilot,Chicago Department of Family Support Services,NA,NA,Household Investment,Direct Cash Assistance,NA,2023-06-30,2024-12-31,1,1,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,Neighborhood Broadband Connectivity,NA,NA,NA,Household Investment,Utility Assistance,NA,2023-06-30,2024-12-31,1,1,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,Legal Protection Fund,Chicago Department of Family Support Services,NA,NA,Household Investment,Targeted Economic Assistance,NA,2023-06-30,2024-12-31,1,1,NA,NA
Illinois,ARPA State and Local Fiscal Recovery Funds,Welcoming Centers,Illinois Department of Human Services,Financial assistance to immigrant households who did not receive Economic Impact Payments during COVID-19 pandemic.,"Financial Assistance to households that were not eligible to receive Economic Impact Payments from the Internal Revenue Services due to immigration status, in an attempt to turn around and provide aid to those that have been disenfranchised from the pandemic.",Household Investment,Targeted Economic Assistance,NA,2023-06-30,2024-12-31,1,1,NA,NA
