Geography,Funding Source,Program,Agency,Description,Detail Description,Policy Topic,Policy Subtopic,Allocation (millions),Current As Of,Expiration,is_expired,amount_exact,source_url,source_name
Illinois,ARPA State and Local Fiscal Recovery Funds,ARPA Job Training and Economic Development (JTED) Workforce program,Illinois Department of Commerce and Economic Opportunity,The Illinois’ Job Training and Economic Development Grant Program (JTED) responds to workforce shortages and responds to the negative economic impacts of COVID-19 experienced by employers and individuals.,"The Illinois’ Job Training and Economic Development Grant Program (JTED) is funded through the American Rescue Plan Act  JTED was originally established in 1997 to respond to workforce shortages due to a strong job market, the lack of skilled workers to fill available positions, and the long-term unemployed, it has been update to respond to the negative economic impacts of COVID-19 experienced by employers and individuals.",Workforce Development,Workforce Sustainability,NA,2023-06-30,2024-12-31,1,1,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,My Chi My Future,Chicago Department of Family and Support Services,NA,NA,Workforce Development,Employment Opportunities,NA,2023-06-30,2024-12-31,1,1,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,Re-entry Workforce Program,Chicago Department of Family and Support Services,Expands workforce training opportunities for formerly incarcerated individuals,Expands workforce training opportunities for formerly incarcerated individuals to attain employment and other stabilization services,Workforce Development,Job Training,9.5,2025-11-11,2024-12-31,1,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,Youth Jobs,Chicago Department of Family and Support Services,NA,NA,Workforce Development,Employment Opportunities,NA,2023-06-30,2024-12-31,1,1,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,Workforce Development Strategy,Chicago Department of Family and Support Services,NA,NA,Workforce Development,Job Training,NA,2023-06-30,2024-12-31,1,1,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,Re-Entry Workforce Development Program,Chicago Department of Family and Support Services,NA,NA,Workforce Development,Job Training,NA,2023-06-30,2024-12-31,1,1,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,Chicago Student Aid Program,NA,NA,NA,Workforce Development,Job Training,NA,2023-06-30,2024-12-31,1,1,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,Youth Opportunity Programs,Chicago Department of Family and Support Services,Creates and expands youth career programs,"Creates and expands a comprehensive portfolio of programs to connect Chicago youth with early career opportunities, as well as an expansion of the My CHI. My Future. Program to increase opportunities for out-of-school programming and education",Workforce Development,Workforce Supportive Services,65,2025-11-11,2024-12-31,1,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,Street Ambassadors Program,Chicago Department of Planning and Development; Department of Business Affiairs and Consumer Protection,NA,NA,Workforce Development,Employment Opportunities,NA,2023-06-30,2024-12-31,1,1,NA,NA
Illinois,ARPA State and Local Fiscal Recovery Funds,FirstFollowers Re-entry Program Services,Illinois Criminal Justice Information Authority,Workforce Development for persons at risk of system involvement,Workforce Development for persons at risk of system involvement,Workforce Development,Job Training,NA,2023-06-30,2024-12-31,1,1,NA,NA
Cook County,ARPA State and Local Fiscal Recovery Funds,Community Conservation Corps,Forest Preserves of Cook County within the Office of the President,Community conservation projects in local forest preserves,The Forest Preserves along with corps partners will recruit and hire up to 282 adult corps members per year from Cook County who are currently unemployed or under-employed to conduct meaningful conservation work in their local Forest Preserve. Corps members will be deployed in teams of 6 to 10 participants and supervised by experienced Field Leaders who have the technical skills to train and supervise conservation work while providing soft job skills for those new to the work force. A minimum of 75% of participants will gain at least three advanced industry skill certifications.,Workforce Development,Employment Opportunities,2.19,2025-11-11,2024-12-31,1,1,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Cook County,ARPA State and Local Fiscal Recovery Funds,Investing in Families and Youth,Cook County Bureau of Economic Development,Workforce developpment and community service programming in suburban Cook County,"Cook County will provide support to workforce and training programs that offer young adults quality paid work experiences to explore career pathways in target sectors or provide opportunities for a â€œcommunity service corpsâ€. The County will also support the expansion of workforce development programs that serve hard to engage populations including people without stable housing, youth in care and graduates of foster care system, people with disabilities, returning residents, and pregnant and parenting youth. Program resources will support residents of suburban Cook County.",Workforce Development,Job Training,2.19,2025-11-11,2024-12-31,1,1,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Cook County,ARPA State and Local Fiscal Recovery Funds,Suburban Cook County Worker Protection Program,Cook County Department of Public Health,Funding to minimize the transmission of diseases in the workplace.,Funding to minimize the transmission of diseases in the workplace.,Workforce Development,Workforce Supportive Services,NA,2023-06-30,2024-12-31,1,1,NA,NA
Chicago,ARPA,Expanding the Public Health Workforce,Centers for Disease Control and Prevention,"Funds for establishing, expanding, and sustaining public health workforces","These funds can be used to carry out activities related to establishing, expanding, and sustaining a public health workforce employed by state or local public health departments or non-profit, private, or public organizations with demonstrated expertise in implementing public health programs. Public health departments employ contact tracers, nurses, epidemiologists, community health workers.",Workforce Development,Workforce Sustainability,20.52,2025-11-11,2025-12-31,1,1,"https://www.cdc.gov/std/funding/pchd/CDC-DIS-Workforce-Development-Funding.pdf""><a href = ""https://www.cdc.gov/std/funding/pchd/CDC-DIS-Workforce-Development-Funding.pdf","<a href = ""https://www.cdc.gov/std/funding/pchd/CDC-DIS-Workforce-Development-Funding.pdf"">CDC Disease Intervention Specialists Workforce Development Funding</a>"
Illinois,ARPA,Expanding the Public Health Workforce,Centers for Disease Control and Prevention,"Funds for establishing, expanding, and sustaining public health workforces","These funds can be used to carry out activities related to establishing, expanding, and sustaining a public health workforce employed by state or local public health departments or non-profit, private, or public organizations with demonstrated expertise in implementing public health programs. Public health departments employ contact tracers, nurses, epidemiologists, community health workers",Workforce Development,Workforce Sustainability,26.05,2025-11-11,2025-12-31,1,1,"https://www.cdc.gov/std/funding/pchd/CDC-DIS-Workforce-Development-Funding.pdf""><a href = ""https://www.cdc.gov/std/funding/pchd/CDC-DIS-Workforce-Development-Funding.pdf","<a href = ""https://www.cdc.gov/std/funding/pchd/CDC-DIS-Workforce-Development-Funding.pdf"">CDC Disease Intervention Specialists Workforce Development Funding</a>"
